"years","months","month_num","quarter","region","warehouse_region","category","subcategory","brand","orders","units_sold","revenue","stokout_rate","shipping_delay_rate","avg_lead_time","total_returns","return_rate","return_reason"
2021,April,4,Q2,Central,Central,Body Care,Body Serum,Nivea,6,10,1743000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Body Care,Body Serum,Nivea,2,3,524000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Body Care,Body Serum,Nivea,2,3,516000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Body Care,Deodorant,Old Spice,1,2,290000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Body Care,Soap,Dove,1,3,141000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,CLIO,1,2,1210000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,CLIO,1,1,602000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,CLIO,1,2,1216000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,CLIO,1,2,1204000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,Laneige,2,3,2598000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,Laneige,1,1,863000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,Laneige,1,1,863000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Cushion,Laneige,1,1,868000,0,0,5,1,1.00000000000000000000,Changed mind
2021,April,4,Q2,Central,Central,Makeup,Eyeliner,Judydoll,1,1,155000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Eyeliner,Judydoll,1,1,153000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,L’Oréal Paris,3,4,1284000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,L’Oréal Paris,1,2,644000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,L’Oréal Paris,1,1,319000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,L’Oréal Paris,3,3,963000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,Maybelline,2,3,629000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Foundation,Maybelline,2,4,828000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,"3CE",3,3,1106000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,"3CE",5,8,2955000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,Black Rouge,2,2,379000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,Black Rouge,3,4,761000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,Black Rouge,3,7,1329000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,Black Rouge,1,1,190000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,rom&nd,2,2,423000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,rom&nd,3,5,1060000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lip Tint,rom&nd,1,1,214000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lipstick,Maybelline,1,1,234000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lipstick,Maybelline,6,12,2563000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lipstick,Maybelline,4,4,930000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lipstick,Maybelline,1,1,234000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Lipstick,Maybelline,1,2,466000,0,0,7,2,1.00000000000000000000,Damaged package
2021,April,4,Q2,Central,Central,Makeup,Mascara,Kiss Me,3,3,960000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Mascara,Maybelline,2,2,504000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Mascara,Maybelline,4,5,1266000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Mascara,Maybelline,2,2,253000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Makeup,Mascara,Maybelline,1,1,235000,1,1,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Acne Care,La Roche-Posay,4,10,4826000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Acne Care,La Roche-Posay,4,6,2890000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Acne Care,La Roche-Posay,3,3,1427000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Acne Care,Paula's Choice,1,1,922000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Acne Care,Paula's Choice,2,3,2784000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,CeraVe,19,36,12084000,0,0,5,0,0.00000000000000000000,Unspecified
